Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, Number of Short Saccades, Number of Medium Saccades, Number of Long Saccades, Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector4 Right Count, Sector4 Up Count, Sector4 Left Count, Sector4 Down Count
446.852941176471, 106858.871212121, 326.892751850085, 2.2, -0.183770008399623, 0, 0, 0, 19, 12, 1, 5, 12, 14, 9, 7, 7, 9, GAME
357.261904761905, 15263.4743902439, 123.54543451801, 2.73333333333333, -0.117911970770467, 0, 0, 0, 23, 16, 1, 6, 12, 21, 14, 5, 14, 7, GAME
383.25, 20064.0728744939, 141.647706915763, 2.6, 0.00963192154849534, 0, 0, 0, 20, 13, 5, 9, 8, 20, 18, 4, 12, 4, GAME
389.15, 30367.9568151147, 174.264043379909, 2.6, -0.131503886827504, 0, 0, 0, 19, 15, 4, 10, 12, 15, 16, 7, 10, 5, GAME
358.47619047619, 23411.9256097561, 153.009560517492, 2.73333333333333, -0.353361835228055, 0, 0, 0, 17, 19, 4, 9, 12, 18, 12, 9, 11, 8, GAME
375.365853658537, 16446.4487179487, 128.243708297712, 2.66666666666667, -0.073330899450004, 0, 0, 0, 15, 17, 7, 9, 15, 14, 12, 9, 10, 8, GAME
470.090909090909, 139068.563508065, 372.918977135871, 2.13333333333333, -0.198563852823754, 0, 0, 0, 16, 11, 4, 5, 14, 11, 9, 8, 9, 5, GAME
513.966666666667, 158755.007389162, 398.440720043977, 1.93333333333333, -0.307403089564431, 0, 0, 0, 17, 4, 7, 5, 11, 11, 7, 6, 11, 4, GAME
412.621621621622, 38633.3357142857, 196.553645894157, 2.4, -0.10217152273196, 0, 0, 0, 26, 3, 6, 6, 16, 12, 9, 7, 10, 9, GAME
391.102564102564, 37256.6778093883, 193.019889673029, 2.53333333333333, 0.0560598480055653, 0, 0, 0, 21, 16, 0, 4, 14, 18, 10, 5, 12, 10, GAME
437.085714285714, 38226.0570409982, 195.514851203171, 2.26666666666667, 0.00124609732419597, 0, 0, 0, 16, 15, 2, 3, 9, 20, 11, 1, 16, 5, GAME
428.75, 44449.2352941176, 210.829872869377, 2.33333333333333, -0.0356462580392889, 0, 0, 0, 16, 12, 6, 11, 6, 16, 15, 1, 15, 3, GAME
446.382352941176, 66544.2102272727, 257.961644876274, 2.2, 0.000555362409840188, 0, 0, 0, 13, 12, 7, 13, 4, 14, 15, 1, 15, 1, GAME
562.892857142857, 111651.814814815, 334.143404565786, 1.8, -0.0577320194123246, 0, 0, 0, 14, 8, 4, 7, 4, 14, 12, 1, 12, 1, GAME
538.357142857143, 97289.9857549858, 311.913426698797, 1.8, 0.225197764011736, 0, 0, 0, 11, 8, 7, 4, 8, 13, 10, 3, 10, 3, GAME
414.72972972973, 48936.25, 221.215392773649, 2.4, 0.215215997876877, 0, 0, 0, 15, 10, 10, 8, 10, 16, 13, 4, 15, 3, GAME
414.297297297297, 61831.3611111111, 248.659126337867, 2.4, 0.0736243460011778, 0, 0, 0, 17, 13, 5, 10, 10, 14, 14, 1, 16, 4, GAME
477.15625, 77394.0559139785, 278.197871871764, 2.06666666666667, 0.137827982523328, 0, 0, 0, 14, 12, 4, 6, 11, 12, 8, 3, 12, 7, GAME
441.742857142857, 55552.2005347594, 235.695143214194, 2.26666666666667, 0.109092628969419, 0, 0, 0, 18, 12, 3, 8, 7, 17, 11, 3, 13, 6, GAME
389.25641025641, 17823.6081081081, 133.505086450323, 2.53333333333333, -0.403538816199303, 0, 0, 0, 17, 16, 4, 9, 6, 21, 15, 3, 17, 2, GAME
410.324324324324, 28977.1777777778, 170.226842118914, 2.4, -0.229856293327897, 0, 0, 0, 10, 22, 3, 6, 13, 15, 9, 8, 9, 9, GAME
419.25, 41015.9462184874, 202.523939865112, 2.33333333333333, 0.604637133219824, 0, 0, 0, 12, 21, 1, 4, 10, 19, 4, 11, 5, 14, GAME
471.848484848485, 91335.9909274194, 302.218449018949, 2.13333333333333, 0.421882863498991, 0, 0, 0, 18, 13, 0, 4, 7, 19, 4, 11, 6, 10, GAME
442.914285714286, 83661.3903743315, 289.242787938319, 2.26666666666667, -0.136355231463801, 0, 0, 0, 17, 11, 5, 5, 12, 15, 12, 5, 11, 5, GAME
366.878048780488, 34506.3564102564, 185.758866303217, 2.66666666666667, -0.0126019267272726, 0, 0, 0, 16, 16, 7, 7, 14, 17, 13, 5, 14, 7, GAME
376.375, 26818.8677462888, 163.76467185046, 2.6, -0.24862924778517, 0, 0, 0, 16, 14, 8, 7, 16, 14, 12, 7, 12, 7, GAME
462.272727272727, 66738.9183467742, 258.338766635544, 2.13333333333333, -0.373270772798633, 0, 0, 0, 16, 7, 8, 5, 16, 9, 13, 7, 7, 4, GAME
448.647058823529, 83732.6268939394, 289.365904857396, 2.2, -0.112858614685088, 0, 0, 0, 19, 10, 3, 8, 14, 9, 10, 4, 13, 5, GAME
372.268292682927, 36991.5326923077, 192.331829639058, 2.66666666666667, 0.0342700744885486, 0, 0, 0, 23, 13, 3, 13, 14, 11, 11, 2, 19, 7, GAME
451.638888888889, 153248.961344538, 391.470256015113, 2.1875, -0.0349594055946731, 0, 0, 0, 20, 11, 3, 11, 13, 9, 12, 3, 14, 5, GAME
484.555555555556, 278158.308823529, 527.407156591119, 2.125, -0.300890573127363, 0, 0, 0, 9, 6, 1, 4, 8, 3, 7, 4, 3, 2, GAME
402.552631578947, 23753.2522522523, 154.120901412664, 2.46666666666667, 0.00370165890874378, 0, 0, 0, 32, 3, 1, 16, 3, 16, 25, 1, 9, 1, READ
