Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, NumberOfBriefFixations, NumberOfHoldFixations, DistractionUp, DistractionRight, DistractionDown, DistractionLeft, Area Containing Fixations (75%), Area Containing Fixations (50%), Area Containing Fixations (25%), Saccade Size (mean), Saccade Size (variance), Saccade Size (standard deviation), Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector8 Right Count, Sector8 Up Count, Sector8 Left Count, Sector8 Down Count, Sector8 UpRight Count, Sector8 UpLeft, Sector8 DownLeft, Sector8 DownRight, Number of Strings, Number of Lines, Number of Comparisons, Number of Scans, Number of Returns, Number of Elsewheres, Activity
429.714285714286, 396336.266666667, 629.552433611901, 2, -1.33768401661657, 6, 0, 0, 5, 1, 0, 0, 0, 0, 17319.8284866437, 1368.90142771974, 295.553615994751, 88.6641110903473, 13115.2381449832, 114.521780220983, 2, 2, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, DEBUG
399.4, 265549.944444445, 515.315383473504, 3, -1.52270171216465, 9, 0, 0, 7, 2, 0, 0, 0, 0, 17319.8284866437, 10426.6098358985, 1920.19051038101, 116.085307574283, 14947.4207933689, 122.259644991178, 2, 2, 3, 1, 2, 1, 2, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, DEBUG
400.769230769231, 198791.424242424, 445.860319205942, 2.4, -0.371038677090205, 12, 0, 0, 9, 3, 0, 0, 0, 0, 34104.3450202793, 16188.9755715653, 7072.84906917624, 134.423989670344, 16917.4804774296, 130.06721522901, 3, 3, 4, 1, 3, 1, 3, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, DEBUG
428.714285714286, 192075.064102564, 438.263692430213, 2.16666666666667, -0.430680071824154, 13, 0, 0, 9, 4, 0, 0, 0, 0, 48746.8755661044, 29548.86627662, 18488.3395201899, 133.367338167129, 15435.6741350782, 124.2403885018, 4, 3, 4, 1, 3, 1, 3, 0, 3, 1, 0, 0, 0, 0, 1, 1, 0, DEBUG
420.263157894737, 148116.133986928, 384.858589597437, 2.57142857142857, -0.208631918548921, 18, 0, 0, 13, 5, 0, 0, 0, 0, 35120.6561929081, 23802.7627303097, 4657.67312578857, 117.52416824316, 11992.1753232803, 109.508791077613, 7, 3, 6, 4, 3, 3, 3, 0, 3, 1, 0, 0, 0, 0, 2, 2, 0, DEBUG
419, 129936.747619048, 360.467401603873, 2.33333333333333, -0.178554465622783, 21, 0, 0, 15, 6, 0, 0, 0, 0, 37583.0265346337, 23802.7627303097, 4662.07559489831, 109.729905689298, 10620.7414529945, 103.056981582979, 8, 3, 8, 6, 3, 4, 3, 0, 3, 1, 0, 2, 0, 1, 2, 2, 0, DEBUG
424.666666666667, 119136.391304348, 345.161398919908, 2.3, -0.122631391497742, 23, 0, 0, 16, 7, 0, 0, 0, 0, 48397.359355351, 27368.7313853297, 2521.53237558715, 108.123237748274, 9706.06801679134, 98.5193788895938, 10, 3, 8, 7, 3, 4, 3, 0, 3, 2, 0, 3, 0, 1, 3, 2, 0, DEBUG
444.178571428571, 164980.319088319, 406.177693981734, 2.25, -0.039984182195728, 27, 0, 0, 19, 8, 0, 0, 0, 0, 48397.359355351, 15725.144028198, 1820.24232612178, 105.144990915036, 9104.84479937363, 95.4193104113294, 14, 3, 8, 8, 4, 4, 3, 0, 3, 4, 0, 3, 0, 1, 5, 2, 0, DEBUG
456.46875, 163290.494623656, 404.092185798805, 2.21428571428571, -0.111209576841335, 31, 0, 0, 22, 9, 0, 0, 0, 0, 41024.3854194246, 13217.3553167656, 2083.07463571988, 104.691475888833, 8149.88581693584, 90.2767180226211, 16, 4, 9, 10, 4, 5, 3, 0, 3, 5, 0, 4, 0, 2, 6, 2, 0, DEBUG
441.970588235294, 157091.301136364, 396.347450018748, 2.2, -0.157231947085937, 33, 0, 0, 24, 9, 0, 0, 0, 0, 41024.3854194246, 13217.3553167656, 3004.83595480025, 104.729783671362, 7749.98623050942, 88.034006102809, 18, 4, 9, 11, 4, 5, 3, 0, 3, 6, 0, 4, 0, 4, 6, 2, 0, DEBUG
413.323529411765, 99682.6950757576, 315.725664265288, 2.35714285714286, -0.0326114193920864, 33, 0, 0, 24, 9, 0, 0, 0, 0, 38820.9307837151, 11515.2548634857, 3912.29095116816, 100.861282610721, 6495.46679760867, 80.5944588517639, 17, 5, 9, 11, 5, 4, 3, 1, 3, 5, 0, 4, 0, 5, 6, 2, 0, DEBUG
396.5, 92277.0075075075, 303.771307906964, 2.46666666666667, -0.0605429558164493, 37, 0, 0, 28, 9, 0, 0, 0, 0, 36368.5813788157, 7900.04623134434, 3912.29095116816, 97.0906886772674, 6140.38500164913, 78.3606087371017, 19, 6, 10, 12, 5, 5, 4, 1, 3, 6, 0, 4, 0, 5, 7, 2, 0, DEBUG
441.657142857143, 122853.265597148, 350.504301824026, 2.26666666666667, 0.311922048684778, 34, 0, 0, 25, 9, 0, 0, 0, 0, 44241.9291709699, 6001.75655029714, 2972.14520155266, 95.3640691840539, 4896.15967892901, 69.9725637584404, 21, 5, 6, 12, 4, 5, 2, 1, 3, 6, 0, 5, 0, 5, 6, 1, 0, DEBUG
449.090909090909, 129057.983870968, 359.246411075974, 2.28571428571429, 0.190913392920251, 32, 0, 0, 23, 9, 0, 0, 0, 0, 33283.6415273063, 5762.25177112967, 2007.74697440863, 87.1529567212311, 2432.28500431368, 49.3182015518984, 19, 5, 6, 12, 4, 5, 1, 1, 1, 7, 0, 5, 0, 5, 6, 0, 0, DEBUG
423.111111111111, 117614.752941177, 342.950073540124, 2.33333333333333, 0.299160292582841, 35, 0, 0, 27, 8, 0, 0, 0, 0, 37673.7590431944, 17473.0010279641, 2007.74697440863, 83.9285064682446, 2336.62230310246, 48.338621237086, 18, 8, 7, 12, 4, 5, 2, 2, 1, 8, 0, 5, 0, 5, 6, 0, 0, DEBUG
418.611111111111, 118991.663865546, 344.951683378334, 2.33333333333333, 0.304241433687734, 35, 0, 0, 27, 8, 0, 0, 0, 0, 40667.435833957, 20616.1181098968, 13640.2883480713, 84.4083082691178, 2290.05397508369, 47.8545084091738, 18, 8, 7, 13, 4, 4, 2, 2, 1, 8, 0, 5, 0, 5, 5, 0, 0, DEBUG
396.710526315789, 111635.585585586, 334.119118856712, 2.46666666666667, 0.333439597764539, 37, 0, 0, 30, 7, 0, 0, 0, 0, 34379.1742616687, 20097.1354619786, 13640.5914346855, 82.0066233526679, 2204.38869692838, 46.9509179561846, 19, 8, 8, 14, 4, 5, 2, 2, 1, 8, 0, 6, 0, 5, 6, 0, 0, DEBUG
400.864864864865, 117396, 342.630996846462, 2.57142857142857, 0.31827534537542, 36, 0, 0, 29, 7, 0, 0, 0, 0, 27534.1996406242, 18626.934770003, 9395.06969290413, 81.7635858266081, 2311.64305597823, 48.0795492489086, 18, 8, 8, 13, 4, 5, 3, 2, 1, 7, 0, 5, 0, 5, 5, 0, 0, DEBUG
