Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, NumberOfBriefFixations, NumberOfHoldFixations, DistractionUp, DistractionRight, DistractionDown, DistractionLeft, Area Containing Fixations (75%), Area Containing Fixations (50%), Area Containing Fixations (25%), Saccade Size (mean), Saccade Size (variance), Saccade Size (standard deviation), Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector8 Right Count, Sector8 Up Count, Sector8 Left Count, Sector8 Down Count, Sector8 UpRight Count, Sector8 UpLeft, Sector8 DownLeft, Sector8 DownRight, Number of Strings, Number of Lines, Number of Comparisons, Number of Scans, Number of Returns, Number of Elsewheres, Activity
310.4375, 15194.6938020352, 123.266758706616, 3.35714285714286, -0.000756954976703847, 0, 0, 0, 42, 5, 0, 0, 0, 0, 26359.8464972321, 14016.2330532856, 3527.88389599323, 55.6361429080392, 2497.01728410284, 49.9701639391231, 27, 5, 13, 17, 2, 17, 4, 1, 1, 4, 0, 14, 0, 2, 3, 0, 0, DEBUG
318.68, 19200.3197278912, 138.565218319357, 3.26666666666667, -0.00417623714285336, 0, 0, 0, 43, 6, 0, 0, 0, 0, 26650.115960205, 14151.7497774139, 3987.55022794008, 55.9395985048714, 2455.02524444392, 49.5482113142737, 28, 5, 14, 18, 2, 18, 4, 1, 1, 4, 0, 14, 0, 2, 4, 0, 0, DEBUG
331.207547169811, 28557.7390648567, 168.990351987493, 3.05882352941176, -0.06106594952396, 0, 0, 0, 45, 7, 0, 0, 0, 0, 27015.3097432349, 19371.4103113487, 3987.55022794008, 56.3748853126311, 2320.18369449069, 48.1682851520655, 30, 5, 15, 20, 2, 19, 4, 1, 1, 4, 0, 14, 0, 2, 5, 0, 0, DEBUG
330.018518518519, 28102.5348330914, 167.63810674513, 3.11764705882353, -0.0266043314758405, 0, 0, 0, 46, 7, 0, 0, 0, 0, 27015.3097432349, 20291.6903749108, 5327.33970604837, 55.8221880292219, 2292.46027031346, 47.8796435900839, 31, 5, 15, 21, 2, 19, 4, 1, 1, 4, 0, 15, 0, 2, 5, 0, 0, DEBUG
329.081967213115, 28741.2666666667, 169.532494427076, 3, 0.0396223282949549, 0, 0, 0, 52, 8, 0, 0, 0, 0, 27765.0319995601, 20495.223482376, 5327.33970604837, 62.9432407076867, 3405.29436083992, 58.3549000585206, 35, 5, 18, 22, 3, 22, 4, 1, 2, 4, 1, 18, 0, 5, 5, 0, 0, DEBUG
331.492063492063, 29203.0555261766, 170.8890152297, 3.1, 0.106702193720736, 0, 0, 0, 53, 9, 0, 0, 0, 0, 27765.0319995601, 20612.4759488944, 5327.33970604837, 63.5415209586788, 3306.56828216741, 57.5027676044154, 36, 5, 19, 22, 3, 22, 5, 2, 2, 4, 1, 18, 0, 5, 5, 0, 0, DEBUG
327.477611940299, 27734.6501165501, 166.537233424091, 3.14285714285714, 0.0726689959898428, 0, 0, 0, 57, 9, 0, 0, 0, 0, 31744.5448423736, 18378.1548491102, 7184.46681641042, 62.717701419841, 3124.09650212838, 55.8936177226736, 39, 6, 19, 23, 3, 22, 7, 3, 2, 4, 1, 18, 0, 5, 5, 1, 0, DEBUG
330.36231884058, 27276.8909130817, 165.157170335053, 3.09090909090909, 0.0630026482493523, 0, 0, 0, 59, 9, 0, 0, 0, 0, 31744.5448423736, 18985.9520475063, 6358.72409172356, 62.0363796488794, 3048.83490672632, 55.2162558195167, 39, 7, 20, 23, 3, 22, 8, 3, 2, 5, 1, 18, 0, 5, 5, 1, 0, DEBUG
321.864197530864, 26978.8859177215, 164.252506579722, 3.07692307692308, 0.13627073929368, 0, 0, 0, 70, 10, 0, 0, 0, 0, 36714.3025956452, 14677.0178970285, 5133.03136319667, 63.6522669607986, 3441.80779714992, 58.6669225130305, 45, 9, 24, 26, 4, 27, 9, 3, 3, 5, 2, 20, 0, 5, 6, 1, 0, DEBUG
327.142857142857, 29706.2001175433, 172.354866822911, 3.07407407407407, 0.264387229930475, 0, 0, 0, 72, 11, 0, 0, 0, 0, 39267.5684523582, 16289.952835761, 7483.70835717022, 63.5463114536493, 3319.48032166771, 57.6149314125055, 47, 9, 25, 26, 4, 27, 12, 3, 3, 5, 2, 20, 0, 5, 6, 1, 0, DEBUG
