Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, NumberOfBriefFixations, NumberOfHoldFixations, DistractionUp, DistractionRight, DistractionDown, DistractionLeft, Area Containing Fixations (75%), Area Containing Fixations (50%), Area Containing Fixations (25%), Saccade Size (mean), Saccade Size (variance), Saccade Size (standard deviation), Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector8 Right Count, Sector8 Up Count, Sector8 Left Count, Sector8 Down Count, Sector8 UpRight Count, Sector8 UpLeft, Sector8 DownLeft, Sector8 DownRight, Number of Strings, Number of Lines, Number of Comparisons, Number of Scans, Number of Returns, Number of Elsewheres, Activity
339.310606060606, 27279.7516147974, 165.165830651492, 2.97727272727273, -0.103609005744893, 0, 0, 0, 110, 21, 0, 0, 0, 0, 68065.2543414161, 27659.1939125247, 11106.9116212055, 77.9378265260492, 3191.12420789539, 56.4900363594802, 76, 18, 35, 43, 12, 29, 9, 11, 9, 11, 6, 21, 3, 21, 10, 1, 0, DEBUG
342.194029850746, 27770.2407154249, 166.644053945603, 2.95555555555556, -0.0698636793394183, 0, 0, 0, 111, 22, 0, 0, 0, 0, 70752.6313962713, 27659.1939125247, 11184.197899837, 77.6944070197205, 3146.64529916822, 56.0949667899734, 77, 18, 36, 44, 12, 30, 9, 11, 9, 11, 6, 21, 3, 21, 11, 1, 0, DEBUG
340.941605839416, 27273.730664488, 165.147602660432, 2.95652173913043, -0.0585313134322468, 0, 0, 0, 114, 22, 0, 0, 0, 0, 72105.592457436, 28168.0450053327, 11184.197899837, 83.0490252121907, 4374.30906043217, 66.1385595581895, 78, 18, 38, 44, 13, 30, 11, 11, 9, 11, 6, 21, 3, 21, 11, 1, 1, DEBUG
340.7, 26827.5639662183, 163.791220662825, 2.95744680851064, -0.0424389762958741, 0, 0, 0, 117, 22, 0, 0, 0, 0, 71531.0756466575, 29626.3971237838, 12639.7270436212, 82.6384661667466, 4299.7780765147, 65.5726930704748, 81, 18, 38, 45, 13, 30, 12, 12, 9, 11, 6, 21, 3, 21, 11, 3, 1, DEBUG
338.52380952381, 26014.9474256023, 161.291498305404, 2.97959183673469, -0.0299114613651564, 0, 0, 0, 124, 22, 0, 0, 0, 0, 69067.1820893548, 29916.0049313605, 12063.5274875537, 82.9040866357015, 4168.54175715114, 64.5642451915233, 84, 21, 39, 46, 15, 31, 13, 13, 9, 12, 6, 21, 3, 21, 11, 3, 1, DEBUG
346.209459459459, 34602.6310688659, 186.017824599864, 2.88235294117647, -0.024969530853138, 0, 0, 0, 124, 23, 0, 0, 0, 0, 69067.1820893548, 29916.0049313605, 11960.390128145, 82.3937014568243, 4178.93781038728, 64.6447044264824, 85, 21, 39, 46, 15, 31, 13, 14, 9, 12, 6, 21, 3, 21, 11, 3, 1, DEBUG
347.395973154362, 34572.8315866887, 185.937708888457, 2.90196078431373, -0.02422149456075, 0, 0, 0, 124, 24, 0, 0, 0, 0, 69067.1820893548, 29916.0049313605, 11960.390128145, 82.3880505483204, 4150.32829486358, 64.4230416455446, 85, 21, 40, 46, 15, 31, 13, 14, 9, 13, 6, 21, 3, 22, 11, 3, 1, DEBUG
353.086092715232, 39160.6238926175, 197.89043406041, 2.83018867924528, -0.0176196452812483, 0, 0, 0, 125, 25, 0, 0, 0, 0, 69067.1820893548, 29916.0049313605, 12063.5274875537, 82.3856252295094, 4094.7867341955, 63.9905206588874, 85, 21, 42, 46, 15, 31, 13, 15, 9, 14, 6, 21, 3, 24, 11, 3, 1, DEBUG
356.210191082803, 40405.9935070306, 201.012421275479, 2.83636363636364, 0.0128986978961788, 0, 0, 0, 129, 27, 0, 0, 0, 0, 63730.8333591241, 32046.8367974982, 15495.5614562295, 81.4066285320879, 4019.93878420313, 63.4029871867496, 90, 21, 43, 47, 16, 34, 13, 15, 9, 14, 7, 21, 3, 24, 11, 3, 1, DEBUG
357.534591194969, 40163.8313311296, 200.409159798472, 2.82142857142857, 0.00897195178226869, 0, 0, 0, 130, 28, 0, 0, 0, 0, 63714.4255578797, 32041.4538921528, 15798.2361535188, 81.0173010895509, 3980.85319480736, 63.0940028434348, 91, 21, 44, 48, 16, 35, 13, 15, 9, 14, 7, 21, 3, 24, 11, 3, 1, DEBUG
360.35625, 41178.7048005732, 202.925367562987, 2.78947368421053, 0.00812130837689055, 0, 0, 0, 130, 29, 0, 0, 0, 0, 63714.4255578797, 32041.4538921528, 16092.3759692945, 81.1849578329791, 3959.82258241457, 62.9271211991664, 92, 21, 44, 48, 16, 35, 13, 15, 10, 14, 7, 22, 3, 24, 11, 3, 1, DEBUG
360.61963190184, 41526.0070930143, 203.779309776568, 2.79310344827586, 0.00988585606470709, 0, 0, 0, 132, 30, 0, 0, 0, 0, 63714.4255578797, 31712.5295109563, 15715.2054956313, 81.225808344348, 3910.3330282113, 62.5326556945354, 93, 22, 45, 48, 16, 35, 14, 16, 10, 15, 7, 22, 3, 27, 11, 3, 1, DEBUG
367.563636363636, 44137.0905282059, 210.08829222069, 2.73333333333333, 0.000827002723667991, 0, 0, 0, 132, 32, 0, 0, 0, 0, 63123.6350684892, 31387.0359897539, 14761.7148783132, 82.4191246033474, 3885.07168291578, 62.3303431958768, 95, 22, 45, 48, 17, 34, 15, 15, 12, 15, 7, 22, 3, 27, 14, 3, 1, DEBUG
369.5, 43952.0889751553, 209.647535103934, 2.72881355932203, -0.0128619254245837, 0, 0, 0, 129, 32, 0, 0, 0, 0, 63730.8333591241, 31484.2418219075, 13353.3522705846, 83.7445133391986, 3935.637790747, 62.7346617967054, 94, 23, 42, 45, 18, 33, 15, 15, 12, 15, 7, 21, 3, 24, 14, 3, 1, DEBUG
371.300613496933, 44431.0752242926, 210.786800403376, 2.7, -0.0149163667628794, 0, 0, 0, 129, 33, 0, 0, 0, 0, 63714.4255578797, 31484.2418219075, 14761.7148783132, 86.1473015401241, 4209.91924784007, 64.883890510974, 96, 23, 41, 44, 18, 33, 16, 16, 12, 15, 7, 20, 3, 23, 14, 3, 1, DEBUG
374.937888198758, 45411.763168239, 213.10035938083, 2.66666666666667, -0.0209416365495884, 0, 0, 0, 126, 34, 0, 0, 0, 0, 63714.4255578797, 32089.9000762179, 14651.2142601795, 86.0685634424907, 4271.98220762821, 65.3604024438972, 95, 23, 40, 42, 18, 32, 16, 16, 12, 15, 8, 19, 3, 22, 13, 3, 1, DEBUG
374.150943396226, 45275.0028218979, 212.779234940579, 2.67796610169492, 0.0251468567247406, 0, 0, 0, 125, 33, 0, 0, 0, 0, 58827.7556817178, 32003.9576024748, 14963.261712946, 87.3777407096425, 4272.69396172862, 65.3658470589085, 94, 23, 39, 41, 19, 31, 16, 16, 11, 15, 8, 18, 2, 21, 13, 3, 1, DEBUG
370.341614906832, 44582.3024764151, 211.145216560582, 2.71186440677966, 0.0562193764565974, 0, 0, 0, 128, 32, 0, 0, 0, 0, 57924.761954667, 29256.5101608634, 14213.16804526, 86.6649495022164, 4098.53870498526, 64.0198305604229, 94, 23, 41, 41, 19, 30, 16, 17, 11, 17, 8, 18, 2, 22, 13, 3, 1, DEBUG
367.975460122699, 44415.3920711602, 210.749595660728, 2.74576271186441, 0.0497150673973342, 0, 0, 0, 130, 32, 0, 0, 0, 0, 56390.8294073772, 31488.8779691234, 12626.6585462913, 85.9689963049291, 4082.1358100442, 63.8915942049046, 95, 25, 40, 43, 20, 29, 16, 17, 11, 17, 8, 18, 2, 23, 13, 3, 1, DEBUG
369.024691358025, 44053.4927795031, 209.88923931327, 2.72881355932203, 0.07386757712149, 0, 0, 0, 129, 32, 0, 0, 0, 0, 58282.2767220531, 32755.8202721663, 12719.7938824371, 86.3547294667341, 3895.457026013, 62.4135964835628, 95, 25, 39, 41, 21, 30, 16, 17, 11, 17, 7, 17, 2, 23, 13, 3, 1, DEBUG
367.742331288344, 43913.8010888735, 209.556200311214, 2.74576271186441, 0.0646234704672645, 0, 0, 0, 130, 32, 0, 0, 0, 0, 58282.2767220531, 32435.9021212421, 14640.8081755862, 87.6374876768145, 4001.13608578161, 63.2545341124382, 96, 25, 39, 42, 21, 29, 17, 16, 11, 18, 7, 17, 2, 23, 13, 3, 1, DEBUG
368.319018404908, 43992.3050379572, 209.743426685933, 2.7, 0.093530470355249, 0, 0, 0, 130, 32, 0, 0, 0, 0, 63618.6816069111, 30651.492958758, 12719.7938824371, 87.8246433808321, 4026.57414326906, 63.4552924764283, 96, 26, 38, 41, 22, 28, 17, 17, 11, 19, 6, 17, 2, 23, 11, 3, 1, DEBUG
368.914110429448, 44700.3544590139, 211.424583383801, 2.7, 0.113068604414255, 0, 0, 0, 130, 32, 0, 0, 0, 0, 58739.3549513295, 31163.8055705186, 12966.0440680385, 88.2478783819939, 4024.26390996804, 63.437086234852, 96, 26, 38, 40, 22, 28, 18, 17, 11, 19, 6, 17, 2, 23, 11, 3, 1, DEBUG
